,Area,2018
5,Afghanistan,635.7765
13,Albania,108.9309
21,Algeria,3278.7811
29,American Samoa,0.0
36,Andorra,1.2264
44,Angola,2116.215
50,Anguilla,0.1538
58,Antigua and Barbuda,2.4112
66,Argentina,4890.1137
76,Armenia,63.2319
84,Aruba,1.0893
94,Australia,5383.1365
104,Austria,387.1823
112,Azerbaijan,638.0412
120,The Bahamas,12.2508
128,Bahrain,940.7907
137,Bangladesh,3922.4594
145,Barbados,7.3209
155,Belarus,594.7934
165,Belgium,679.7632
181,Belize,17.0058
189,Benin,262.182
195,Bermuda,0.0
202,Bhutan,36.3162
210,Bolivia,1151.6818
218,Bosnia and Herzegovina,204.3927
226,Botswana,156.1392
236,Brazil,20500.8159
242,British Virgin Islands,0.2559
250,Brunei,197.9649
260,Bulgaria,335.5566
268,Burkina Faso,773.5728
276,Burundi,156.5992
284,Cape Verde,6.8688
292,Cambodia,914.4133
300,Cameroon,880.1875
310,Canada,4175.083
318,Cayman Islands,0.0
325,Central African Republic,438.3518
333,Chad,2029.2573
347,Chile,869.0529
355,China,57625.7872
361,Hong Kong S.A.R.,193.6639
367,Macao S.A.R,3.9621
381,Taiwan,620.36
390,Colombia,3195.1361
398,Comoros,20.5661
406,Republic of Congo,591.2432
414,Cook Islands,0.5912
422,Costa Rica,196.7022
430,Ivory Coast,537.1457
440,Croatia,164.3859
448,Cuba,532.4141
458,Cyprus,31.2768
468,Czech Republic,434.1237
484,North Korea,726.9483
492,Democratic Republic of the Congo,1801.3551
502,Denmark,343.6833
510,Djibouti,41.6083
518,Dominica,2.2467
526,Dominican Republic,442.9097
535,Ecuador,828.8601
543,Egypt,2377.7335
551,El Salvador,125.8958
559,Equatorial Guinea,356.6046
567,Eritrea,175.597
577,Estonia,116.9703
585,Swaziland,39.1508
593,Ethiopia,3973.1507
609,Falkland Islands,0.0
616,Faroe Islands,0.7482
623,Fiji,27.8167
633,Finland,794.1931
643,France,2706.2023
658,French Polynesia,1.0792
665,Gabon,415.6645
673,Gambia,52.0052
681,Georgia,119.5926
691,Germany,2471.0067
701,Ghana,658.6272
709,Gibraltar,0.0
718,Greece,454.2415
726,Greenland,0.0
733,Grenada,1.9675
748,Guam,0.0
755,Guatemala,633.6958
763,Guinea,707.8436
771,Guinea Bissau,75.4335
779,Guyana,70.9225
787,Haiti,365.7816
803,Honduras,343.6577
813,Hungary,291.7533
823,Iceland,22.2479
831,India,31149.0155
841,Indonesia,13443.0844
849,Iran,8486.043
857,Iraq,5799.3524
867,Ireland,701.5737
873,Isle of Man,0.0
880,Israel,428.6118
890,Italy,1738.1543
898,Jamaica,38.5119
908,Japan,1088.9586
916,Jordan,216.1578
925,Kazakhstan,2472.1094
933,Kenya,1893.4681
939,Kiribati,1.0418
947,Kuwait,1250.9344
955,Kyrgyzstan,260.3256
963,Laos,380.9156
973,Latvia,92.1159
981,Lebanon,142.764
989,Lesotho,59.6095
998,Liberia,92.9093
1006,Libya,741.2948
1016,Liechtenstein,0.2387
1026,Lithuania,147.0485
1036,Luxembourg,21.5688
1045,Madagascar,920.2787
1053,Malawi,287.5554
1063,Malaysia,2046.0449
1071,Maldives,5.9871
1079,Mali,996.0494
1088,Malta,6.0266
1096,Marshall Islands,0.4849
1113,Mauritania,313.1482
1121,Mauritius,23.0003
1136,Mexico,6032.4113
1152,Monaco,0.6192
1161,Mongolia,1248.1947
1169,Montenegro,34.6809
1177,Montserrat,0.0
1184,Morocco,1076.6067
1192,Mozambique,990.4589
1200,Myanmar,3347.1936
1210,Namibia,182.8285
1218,Nauru,0.152
1226,Nepal,1045.8266
1236,Netherlands,830.5769
1252,New Caledonia,6.1507
1261,New Zealand,1331.6349
1269,Nicaragua,402.7894
1277,Niger,929.0265
1285,Nigeria,8881.1491
1293,Niue,0.048
1301,Norfolk Island,0.0
1307,Macedonia,66.7113
1315,Northern Mariana Islands,0.0
1324,Norway,859.1823
1332,Oman,1271.3677
1348,Pakistan,7616.014
1354,Palau,1.053
1360,Palestine,6.313
1367,Panama,163.5195
1377,Papua New Guinea,352.3853
1387,Paraguay,937.4632
1395,Peru,1369.7474
1403,Philippines,3261.0562
1418,Poland,2346.5197
1428,Portugal,397.7158
1436,Puerto Rico,22.9785
1443,Qatar,2978.0548
1451,South Korea,1376.4891
1459,Moldova,84.6452
1476,Romania,835.5988
1494,Rwanda,160.3728
1508,Saint Kitts and Nevis,1.4821
1516,Saint Lucia,2.7013
1524,Saint Pierre and Miquelon,0.0
1531,Saint Vincent and the Grenadines,1.9334
1539,Samoa,7.1877
1547,San Marino,0.4796
1555,Sao Tome and Principe,2.6437
1563,Saudi Arabia,4320.4937
1571,Senegal,402.3656
1579,Republic of Serbia,352.3411
1587,Kosovo,
1595,Seychelles,2.4482
1603,Sierra Leone,213.9634
1613,Singapore,205.5288
1623,Slovakia,225.6454
1633,Slovenia,119.5946
1641,Solomon Islands,7.688
1649,Somalia,876.5121
1659,South Africa,3119.3208
1667,South Sudan,1272.2314
1677,Spain,1751.3137
1685,Sri Lanka,442.4107
1693,Sudan,2469.8263
1701,Somaliland,
1709,Suriname,33.7557
1726,Sweden,449.6137
1736,Switzerland,209.2282
1744,Syria,349.2631
1753,Tajikistan,279.4743
1761,Thailand,3945.9997
1769,East Timor,154.9942
1777,Togo,194.4586
1792,Tonga,3.4319
1800,Trinidad and Tobago,570.3265
1808,Tunisia,350.8111
1818,Turkey,3474.9751
1826,Turkmenistan,1720.2149
1834,Turks and Caicos Islands,0.402
1842,Tuvalu,0.3507
1850,Uganda,1096.4395
1860,Ukraine,1965.0487
1866,United Arab Emirates,1790.0989
1876,United Kingdom,1853.2296
1884,United Republic of Tanzania,2053.255
1894,United States of America,24243.4879
1902,United States Virgin Islands,0.0
1909,Uruguay,963.8801
1917,Russia,
1925,Uzbekistan,2329.5989
1931,Vanuatu,13.3919
1939,Venezuela,2401.324
1949,Vietnam,3740.5502
1957,Wallis and Futuna,0.0
1964,Western Sahara,0.0
1971,Yemen,457.5553
1988,Zambia,696.905
1996,Zimbabwe,470.3875
