,Area,2018
7,Afghanistan,8686.0
15,Albania,5362.69
23,Algeria,181302.11
38,Andorra,475.59
46,Angola,26710.0
52,Anguilla,147.0
60,Antigua and Barbuda,518.14
68,Argentina,192751.4
78,Armenia,7034.0
86,Aruba,964.98
96,Australia,378495.02
106,Austria,65020.193
114,Azerbaijan,36240.0
122,The Bahamas,2043.216
130,Bahrain,28420.0
139,Bangladesh,87710.0
147,Barbados,1220.7
157,Belarus,67635.8
167,Belgium,106583.75
183,Belize,594.95
191,Benin,7173.354
204,Bhutan,1739.0
212,Bolivia,21452.37
220,Bosnia and Herzegovina,22393.71
228,Botswana,7036.6
238,Brazil,489188.0
244,British Virgin Islands,174.74
252,Brunei,9729.01
262,Bulgaria,43713.78
270,Burkina Faso,4418.251
278,Burundi,627.3
286,Cape Verde,743.28
294,Cambodia,14581.3
302,Cameroon,10240.0
312,Canada,605033.0
327,Central African Republic,329.5
335,Chad,1562.0
349,Chile,85390.0521
357,China,11097173.853
363,Hong Kong S.A.R.,43226.8
369,Macao S.A.R,2185.823
383,Taiwan,290101.23
392,Colombia,95417.8
400,Comoros,252.87
408,Republic of Congo,6058.0051
416,Cook Islands,73.806
424,Costa Rica,8676.0
432,Ivory Coast,12721.0
442,Croatia,18890.0
450,Cuba,26186.479
460,Cyprus,7035.0
470,Czech Republic,103960.3
486,North Korea,24620.7
494,Democratic Republic of the Congo,3606.0
504,Denmark,31853.93
512,Djibouti,404.8
520,Dominica,170.69
528,Dominican Republic,25080.44
537,Ecuador,43554.34
545,Egypt,260800.414
553,El Salvador,7121.0
561,Equatorial Guinea,7813.0
569,Eritrea,757.0
579,Estonia,21610.381
587,Swaziland,981.78
595,Ethiopia,16901.33
625,Fiji,2402.8
635,Finland,46360.0
645,France,339320.0
667,Gabon,5943.296
675,Gambia,657.4
683,Georgia,9510.0
693,Germany,728662.0
703,Ghana,18770.0
720,Greece,66902.54
735,Grenada,293.11
757,Guatemala,14970.0
765,Guinea,3474.8
773,Guinea Bissau,377.45
781,Guyana,2556.124
789,Haiti,3393.0
805,Honduras,10287.3
815,Hungary,51428.5
825,Iceland,4021.82
833,India,2675200.0
843,Indonesia,598657.0
851,Iran,738000.0
859,Iraq,248490.0
869,Ireland,36947.76
882,Israel,68640.0
892,Italy,337726.0
900,Jamaica,8086.0
910,Japan,1167780.0
918,Jordan,20010.0
927,Kazakhstan,289256.15
935,Kenya,17291.23
941,Kiribati,70.523
949,Kuwait,111430.0
957,Kyrgyzstan,11729.0
965,Laos,20073.5
975,Latvia,7170.397
983,Lebanon,19210.0053
991,Lesotho,2506.41
1000,Liberia,1392.0
1008,Libya,52170.0
1018,Liechtenstein,131.7103
1028,Lithuania,16160.76
1038,Luxembourg,9617.0
1047,Madagascar,4142.0
1055,Malawi,1481.0
1065,Malaysia,271670.6
1073,Maldives,1547.88
1081,Mali,3667.76
1090,Malta,2299.062
1098,Marshall Islands,155.0
1115,Mauritania,3458.4
1123,Mauritius,4605.652
1138,Mexico,488570.0
1154,Monaco,91.4
1163,Mongolia,36738.856
1171,Montenegro,2351.657
1186,Morocco,63440.0
1194,Mozambique,9980.0
1202,Myanmar,26963.2
1212,Namibia,4286.68
1220,Nauru,50.882
1228,Nepal,13340.0
1238,Netherlands,174212.9
1263,New Zealand,37102.21
1271,Nicaragua,5341.0
1279,Niger,2402.5
1287,Nigeria,145400.0
1295,Niue,7.76
1309,Macedonia,7436.6
1326,Norway,54950.228
1334,Oman,78300.0
1350,Pakistan,251800.0
1356,Palau,245.709
1369,Panama,10976.0
1379,Papua New Guinea,8165.495
1389,Paraguay,7085.0119
1397,Peru,55699.02
1405,Philippines,142340.0
1420,Poland,326746.0
1430,Portugal,50680.5
1445,Qatar,113200.0307
1453,South Korea,678540.0
1461,Moldova,6536.42
1478,Romania,78761.8
1496,Rwanda,1156.0
1510,Saint Kitts and Nevis,254.605
1518,Saint Lucia,365.2334
1533,Saint Vincent and the Grenadines,265.186
1541,Samoa,314.97
1549,San Marino,171.437
1557,Sao Tome and Principe,120.04
1565,Saudi Arabia,637800.0
1573,Senegal,10760.0
1581,Republic of Serbia,55396.35
1589,Kosovo,
1597,Seychelles,428.95
1605,Sierra Leone,1181.9
1615,Singapore,47769.6
1625,Slovakia,35738.8
1635,Slovenia,14129.06
1643,Solomon Islands,312.0
1651,Somalia,706.3
1661,South Africa,503700.0
1669,South Sudan,1782.4
1679,Spain,278680.0
1687,Sri Lanka,22250.0
1695,Sudan,23520.0
1703,Somaliland,
1711,Suriname,2955.997
1728,Sweden,43454.0
1738,Switzerland,33619.07
1746,Syria,37920.0
1755,Tajikistan,6930.0
1763,Thailand,310917.4
1771,East Timor,582.589
1779,Togo,3477.202
1794,Tonga,167.696
1802,Trinidad and Tobago,52900.0
1810,Tunisia,25390.0
1820,Turkey,417500.481
1828,Turkmenistan,80760.0
1836,Turks and Caicos Islands,238.343
1844,Tuvalu,11.6417
1852,Uganda,5373.0
1862,Ukraine,204115.8
1868,United Arab Emirates,193900.0
1878,United Kingdom,376664.0
1886,United Republic of Tanzania,11830.0
1896,United States of America,5273730.0
1911,Uruguay,8760.33
1919,Russia,
1927,Uzbekistan,116740.0
1933,Vanuatu,150.37
1941,Venezuela,118676.9
1951,Vietnam,245145.2
1973,Yemen,16910.0
1990,Zambia,6960.0
1998,Zimbabwe,11371.0
