,Area,N20pc
0,Afghanistan,0.000433750202797825
1,Albania,0.001317929394132039
2,Algeria,0.0006829488210307977
3,American Samoa,0.0
4,Andorra,0.0004385906442883233
5,Angola,0.0018518182771354935
6,Anguilla,0.0001053949015216389
7,Antigua and Barbuda,0.0008654748652129307
8,Argentina,0.0037034312646064506
9,Armenia,0.0014384692428179658
10,Aruba,0.0004982918404711123
11,Australia,0.011250158631791293
12,Austria,0.0015846365476754572
13,Azerbaijan,0.0013155056448043156
14,The Bahamas,0.0007036471214662135
15,Bahrain,0.0006330764989847647
16,Bangladesh,0.0006178223036371102
17,Barbados,0.0007933840565201224
18,Belarus,0.010667630405378783
19,Belgium,0.0029196159004663894
20,Belize,0.001520156203378474
21,Benin,0.000844909792848533
22,Bermuda,2.5168709002532605e-05
23,Bhutan,0.0008349341815204383
24,Bolivia,0.0026421341434258315
25,Bosnia and Herzegovina,0.0013629482881384795
26,Botswana,0.0032281434880919503
27,Brazil,0.0028992390950508444
28,British Virgin Islands,0.000494478325366738
29,Brunei,0.0009774934718633857
30,Bulgaria,0.0020452744817617483
31,Burkina Faso,0.0016459596886595283
32,Burundi,0.0004972648821870363
33,Cape Verde,0.0004690109628467688
34,Cambodia,0.0010456818176428956
35,Cameroon,0.0008520084363414442
36,Canada,0.004438052456721371
37,Cayman Islands,0.0
38,Central African Republic,0.00567190339916542
39,Chad,0.005424459168391095
40,Chile,0.0013084974694475562
41,China,0.0011092455796700247
42,Hong Kong S.A.R.,0.0002789928029667629
43,Macao S.A.R,0.0001720453892603738
44,Taiwan,0.0008217966773840801
45,Colombia,0.0014336456341128667
46,Comoros,0.0003015536259215033
47,Republic of Congo,0.0011373882525139395
48,Cook Islands,0.0006897351185301108
49,Costa Rica,0.001247615922601748
50,Ivory Coast,0.0004949245288732386
51,Croatia,0.0020818005593097925
52,Cuba,0.0012296433586705935
53,Cyprus,0.0010513352548466525
54,Czech Republic,0.002103840176834549
55,North Korea,0.00038257442064167736
56,Democratic Republic of the Congo,0.0006040486589585824
57,Denmark,0.0033141565190128266
58,Djibouti,0.0009195060906282455
59,Dominica,0.0008062352625559494
60,Dominican Republic,0.0011230286736436874
61,Ecuador,0.0010320662034388063
62,Egypt,0.0007812223092821805
63,El Salvador,0.0006081567894165105
64,Equatorial Guinea,0.00010884826551786811
65,Eritrea,0.0017064330316534577
66,Estonia,0.004654320091245458
67,Swaziland,0.0012938329650784021
68,Ethiopia,0.001501206188048931
69,Falkland Islands,1.0772975929978117
70,Faroe Islands,0.0038838190560298302
71,Fiji,0.0008253572376811215
72,Finland,0.0048766911777637445
73,France,0.0021489282895272347
74,French Polynesia,0.00014247024589558006
75,Gabon,0.0009987627804957271
76,Gambia,0.000558996709907416
77,Georgia,0.0016444235319067154
78,Germany,0.0016023473360144533
79,Ghana,0.0006186104136937098
80,Gibraltar,0.0
81,Greece,0.0015160903921286307
82,Greenland,0.0
83,Grenada,0.00038165432787800197
84,Guam,0.0
85,Guatemala,0.0009801974768690845
86,Guinea,0.0017030371655160901
87,Guinea Bissau,0.0014778007797584878
88,Guyana,0.0025240797745170675
89,Haiti,0.0005374658306288872
90,Honduras,0.0010817075723614678
91,Hungary,0.002871120308810295
92,Iceland,0.0037883982252242547
93,India,0.0006943793311774515
94,Indonesia,0.0009903393361339133
95,Iran,0.0010979978617003834
96,Iraq,0.0006244681663533766
97,Ireland,0.006852032689165617
98,Isle of Man,0.0001706953148313936
99,Israel,0.0008769130145475371
100,Italy,0.0010058849391068503
101,Jamaica,0.0005476139247146437
102,Japan,0.0005690286105201639
103,Jordan,0.0005285727875072958
104,Kazakhstan,0.0021761184898192636
105,Kenya,0.0012358021403349017
106,Kiribati,0.00019384758835605794
107,Kuwait,0.000834571601633935
108,Kyrgyzstan,0.0010676639199780702
109,Laos,0.0013574372773224963
110,Latvia,0.003992085264229217
111,Lebanon,0.0007182684660095829
112,Lesotho,0.0009822489998939953
113,Liberia,0.00036202872709505135
114,Libya,0.0010498019927466036
115,Liechtenstein,0.00029857782666771433
116,Lithuania,0.007676814105630903
117,Luxembourg,0.00195735245010388
118,Madagascar,0.0009436671934756883
119,Malawi,0.0008639210082076414
120,Malaysia,0.0009778923729487617
121,Maldives,0.00033649271681115983
122,Mali,0.002317839333996111
123,Malta,0.00031815389372358044
124,Marshall Islands,0.00021309443562591055
125,Mauritania,0.002542550282013865
126,Mauritius,0.000853416871175353
127,Mexico,0.0031561528432696726
128,Monaco,0.00046990196872721373
129,Mongolia,0.014966414253390733
130,Montenegro,0.0013196506481063575
131,Montserrat,0.0
132,Morocco,0.000861017062940987
133,Mozambique,0.001159401898009501
134,Myanmar,0.0014305164617166586
135,Namibia,0.00411363938678461
