,Area,CO2pc_n,N20pc_n,CH4pc_n,Total_n_emissions
0,Afghanistan,0.004779508988368329,0.022095072585642535,0.010505146415763052,0.03737972798977392
1,Albania,0.04459076292634525,0.08159160982842659,0.02968927121211475,0.1558716439668866
2,Algeria,0.10478295904972243,0.038863681274765235,0.06737951368415662,0.21102615400864427
3,Andorra,0.1541029037333388,0.022420786547510813,0.009588870004436457,0.18611256028528605
4,Angola,0.019882664596506228,0.117517064897315,0.05753716444228105,0.19493689393610228
5,Anguilla,0.23589359489707346,0.0,0.0037791736581262057,0.23967276855519967
6,Antigua and Barbuda,0.13733998193156602,0.051145883448142825,0.018900808125971613,0.20738667350568046
7,Argentina,0.10516674706304871,0.24211235298824105,0.09718614973133254,0.4444652497826223
8,Armenia,0.05965655066035487,0.08970275253215816,0.015141189324510987,0.16450049251702403
9,Aruba,0.22179375613381133,0.02643808810463988,0.003918402272183183,0.2521502465106344
10,Australia,0.3697030184486543,0.7499326571341797,0.19566428108354547,1.3152999566663792
11,Austria,0.17892834162326796,0.09953837022409716,0.035233415713688286,0.31370012756105337
12,Azerbaijan,0.08631917747175302,0.08142851540870102,0.05303154524043592,0.22077923812088995
13,The Bahamas,0.12336681430844451,0.04025647270752873,0.022793272370929065,0.1864165593869023
14,Bahrain,0.4664788640835295,0.03550776598623825,0.5853030157558167,1.0872896458255843
15,Bangladesh,0.01209696771689424,0.03448130912036142,0.016703225020063505,0.06328150185731916
16,Barbados,0.10576829793496757,0.0462948831913037,0.01876959510343876,0.17083277622971002
17,Belarus,0.16965938850361817,0.7107342540758292,0.05163128709333333,0.9320249296727807
18,Belgium,0.22675829782736628,0.18936931123710576,0.04978913076477377,0.4659167398292458
19,Belize,0.03708496639603977,0.09519947914467242,0.03590028845940572,0.16818473400011788
20,Benin,0.013684785435618366,0.04976205695027805,0.01482843131188099,0.0782752736977774
21,Bhutan,0.05481470799168396,0.049090796716245715,0.03883681032035841,0.14274231502828807
22,Bolivia,0.044205760747963216,0.1706975263163992,0.08702059361793439,0.3019238806822968
23,Bosnia and Herzegovina,0.16012234317215615,0.0846209372884422,0.050478631603169954,0.2952219120637683
24,Botswana,0.06921447697459956,0.21013017429235487,0.05382391544720839,0.3331685667141628
25,Brazil,0.055934153295716646,0.18799815324766528,0.08545251978133145,0.3293848263247134
26,British Virgin Islands,0.13991862699199806,0.0261814761580378,0.00219523018322552,0.16829533333326138
27,Brunei,0.5470936472536065,0.05868363062403667,0.4202269702134081,1.0260042480910514
28,Bulgaria,0.14925110184758555,0.1305347590437077,0.03836282381725143,0.3181486847085447
29,Burkina Faso,0.004287677110269969,0.10366481266603896,0.029755859012869496,0.13770834878917843
30,Burundi,0.0003222667947688305,0.02636898394295619,0.007043671257622143,0.03373492199534716
31,Cape Verde,0.03082328123789166,0.024467773893275854,0.005548859044358075,0.06083991417552559
32,Cambodia,0.02124832798287421,0.06327203362419384,0.04762670938566438,0.13214707099273243
33,Cameroon,0.008977491846219413,0.0502397256299853,0.02710796997806286,0.08632518745426757
34,Canada,0.3986776314614336,0.2915451122573774,0.09964219326699893,0.78986493698581
35,Central African Republic,0.0005692551915450082,0.37457110887509026,0.07470205609978033,0.44984242016641557
36,Chad,0.0014360105298583095,0.3579205531550882,0.11581797082956477,0.4751745345145113
37,Chile,0.11069701015767332,0.08095693434209822,0.0377312840736568,0.22938522857342833
38,China,0.18636806243655804,0.06754924775884434,0.03147272727179232,0.2853900374671947
39,Hong Kong S.A.R.,0.1403453111246004,0.011681426242358692,0.018498899603498053,0.17052563697045714
40,Macao S.A.R,0.08113557422254238,0.004484920324819586,0.0,0.08562049454736197
41,Taiwan,0.29813208586534135,0.04820677228795467,0.018742874519993964,0.36508173267328997
42,Colombia,0.04636157333855796,0.08937817125069361,0.0548953119333472,0.1906350565225988
43,Comoros,0.006956260239373503,0.013199547067085487,0.01906557227419158,0.03922137958065057
44,Republic of Congo,0.026226896280267527,0.06944297201675503,0.09583999410302528,0.19150986240004786
45,Cook Islands,0.1036485414437669,0.03932033215036346,0.026329451304737583,0.16929832489886792
46,Costa Rica,0.04109702842537248,0.07686020682938213,0.03077311661902687,0.14873035187378147
47,Ivory Coast,0.011194928648772941,0.02621150125227499,0.013999190909232628,0.051405620810280564
48,Croatia,0.1100701251621986,0.13299260373680744,0.03122972365909066,0.2742924525580967
49,Cuba,0.05554244401092411,0.07565083057425372,0.03822554664526788,0.16941882123044572
50,Cyprus,0.14020197193360515,0.06365245417744787,0.018289420137036935,0.22214384624808997
51,Czech Republic,0.24042741028570883,0.13447565257773264,0.03281630902754177,0.40771937189098323
52,North Korea,0.022481872446378934,0.018651447290200664,0.02080541635501251,0.0619387360915921
53,Democratic Republic of the Congo,0.0,0.03355447870904138,0.013639436815237004,0.04719391552427839
54,Denmark,0.13413102329585536,0.2159180027638963,0.04999730676669649,0.40004633282644814
55,Djibouti,0.008354897662415896,0.05478165190628155,0.031085758387311275,0.09422230795600872
56,Dominica,0.05795191521017005,0.0471596425817294,0.023952758807374918,0.12906431659927436
57,Dominican Republic,0.055984998007685534,0.06847671401451065,0.03275288371324909,0.15721459573544527
58,Ecuador,0.06161121173612073,0.062355837104849626,0.0398258085526432,0.16379285739361354
59,Egypt,0.06049318137682164,0.04547651757653769,0.015728107703676233,0.12169780665703557
60,El Salvador,0.02674536549996448,0.03383091536258839,0.013054853020724243,0.07363113388327712
61,Equatorial Guinea,0.12624400484203596,0.00023237732987642368,0.21612684778499272,0.34260322995690506
62,Eritrea,0.0043624614328974486,0.10773407208641132,0.0419321928747031,0.15402872639401188
63,Estonia,0.39887887926770677,0.306097790603556,0.07697292984144317,0.781949599712706
64,Swaziland,0.019686279023967884,0.07997015786183546,0.025835883060447425,0.12549231994625076
65,Ethiopia,0.0027078846565059293,0.09392433005288689,0.027717813098027167,0.12435002780741998
66,Fiji,0.06295517346731463,0.04844636287139561,0.02259409457595968,0.13399563091466993
67,Finland,0.20463372207096914,0.32106117105903725,0.12885034236571244,0.6545452354957189
68,France,0.12814119587602107,0.13750963777249756,0.033650015738273996,0.2993008493867926
69,Gabon,0.06532225350541977,0.060114845275517914,0.17148626845823645,0.2969233672391741
70,Gambia,0.005565437298629511,0.030522926970600224,0.014187220166019556,0.05027558443524929
71,Georgia,0.06066515165726088,0.1035614444705982,0.023933958619315708,0.1881605547471748
72,Germany,0.214041773543154,0.10073013156426179,0.0221640158963038,0.3369359210037196
73,Ghana,0.013862701376616264,0.034534341152548394,0.014247312054505228,0.06264435458366989
74,Greece,0.15292146637787674,0.09492589015635501,0.03422670663724515,0.2820740631714769
75,Grenada,0.057845310616033804,0.0185895341238229,0.009401375777788074,0.08583622051764478
76,Guatemala,0.020722850904888637,0.058865583486197415,0.029451175970143326,0.10903961036122937
77,Guinea,0.0057583439910487335,0.10750556379522601,0.046990626352366276,0.16025453413864102
78,Guinea Bissau,0.003784274877144984,0.09234937696681211,0.030926923551934594,0.1270605753958917
79,Guyana,0.07860073576034561,0.1627536318826761,0.07867163768290984,0.32002600532593156
80,Haiti,0.006525040336203471,0.02907411119499726,0.025347349042297608,0.06094650057349834
81,Honduras,0.02468810195797398,0.0656962115265018,0.027101399461851836,0.11748571294632762
82,Hungary,0.12768946944669757,0.18610603632252226,0.022196225528893353,0.33599173129811316
83,Iceland,0.2777753201633748,0.24782979124775842,0.05320838328999358,0.5788134947011268
84,India,0.04679621269216507,0.03963284184686396,0.015572176132901412,0.10200123067193045
85,Indonesia,0.05382959342662905,0.059548030566353674,0.041343578002584584,0.1547212019955673
86,Iran,0.2098758845240917,0.0667923872970331,0.08691952928957461,0.36358780111069944
87,Iraq,0.1487630999966674,0.03492851012043484,0.1278038576843503,0.31149546780145254
88,Ireland,0.1859674032786916,0.45398216824173926,0.12990049838628806,0.7698500699067189
89,Israel,0.19757256327983772,0.05191555806223098,0.04166907253180887,0.29115719387387756
90,Italy,0.13698141546130518,0.06059409629070668,0.021435501831790802,0.21901101358380268
91,Jamaica,0.06934344439082232,0.029756977817096117,0.007110290726574779,0.10621071293449322
92,Japan,0.22527923911865,0.031197974918201893,0.0023720168731554926,0.25884923091000733
93,Jordan,0.04579076957826081,0.028475697121841982,0.01362167177405543,0.08788813847415822
94,Kazakhstan,0.38073576017825983,0.1393392700237071,0.11890815717936881,0.6389831873813359
95,Kenya,0.007455751499064057,0.0760652558245333,0.02972875911569683,0.11324976643929419
96,Kiribati,0.013099422893237742,0.00595199324757586,0.0022749414213684383,0.02132635756218204
97,Kuwait,0.6304700887181576,0.049066398666696195,0.2650400612901138,0.9445765486749675
98,Kyrgyzstan,0.045096087478548305,0.06475121226024143,0.03339572575747268,0.14324302549626242
99,Laos,0.06810937099440614,0.08425010062606411,0.044404658326040666,0.19676412994651094
100,Latvia,0.08961886254695829,0.26153591962174133,0.03877754658539404,0.38993232875409367
101,Lebanon,0.07796557556636119,0.041240344957283286,0.01672840634255625,0.13593432686620072
102,Lesotho,0.026885482178751467,0.05900363074771671,0.0196520013635882,0.10554111429005637
103,Liberia,0.005952328967179412,0.017268924795601936,0.012067682418380889,0.03528893618116224
104,Libya,0.19602679562935735,0.06354928076358268,0.10123395542009445,0.36081003181303445
105,Liechtenstein,0.08338506125579169,0.012999305133249725,0.0001546691166280402,0.09653903550566945
106,Lithuania,0.13645882567991116,0.509481821188598,0.04208282885837025,0.6880234757268794
107,Luxembourg,0.38602928682213605,0.12461847365465661,0.027463320049910377,0.5381110805267031
108,Madagascar,0.0027616464876799246,0.05640745578119569,0.026341339281030125,0.08551044154990574
109,Malawi,0.0009596281180651184,0.05104132420032152,0.00894060955743129,0.06094156187581793
110,Malaysia,0.20413514075666134,0.05871047273196554,0.05331685787021855,0.31616247135884545
111,Maldives,0.0763112571996124,0.015550603213530934,0.005735201274143293,0.09759706168728663
112,Mali,0.003488480996431044,0.1488756847757021,0.04099842615016367,0.1933625919222968
