,Area,CO2pc,N20pc,CH4pc,CO2pc_n,N20pc_n,CH4pc_n,Total_n_emissions
0,Afghanistan,0.23676100908708705,0.000433750202797825,0.01732985098939171,0.004779508988368329,0.022095072585642535,0.010505146415763052,0.03737972798977392
1,Albania,1.8639783692322558,0.001317929394132039,0.03786249836201644,0.04459076292634525,0.08159160982842659,0.02968927121211475,0.1558716439668866
2,Algeria,4.324232111297618,0.0006829488210307977,0.07820212637644276,0.10478295904972243,0.038863681274765235,0.06737951368415662,0.21102615400864427
3,Andorra,6.34010104915148,0.0004385906442883233,0.016349166144534945,0.1541029037333388,0.022420786547510813,0.009588870004436457,0.18611256028528605
4,Angola,0.8540768323169627,0.0018518182771354935,0.06766792226513071,0.019882664596506228,0.117517064897315,0.05753716444228105,0.19493689393610228
5,Anguilla,9.683156577300574,0.0001053949015216389,0.010131084908767539,0.23589359489707346,0.0,0.0037791736581262057,0.23967276855519967
6,Antigua and Barbuda,5.6549451029183855,0.0008654748652129307,0.026315674590181824,0.13733998193156602,0.051145883448142825,0.018900808125971613,0.20738667350568046
7,Argentina,4.339918794235891,0.0037034312646064506,0.11010398032170149,0.10516674706304871,0.24211235298824105,0.09718614973133254,0.4444652497826223
8,Armenia,2.4797668441000833,0.0014384692428179658,0.022291778377800976,0.05965655066035487,0.08970275253215816,0.015141189324510987,0.16450049251702403
9,Aruba,9.106849625337386,0.0004982918404711123,0.01028010041335573,0.22179375613381133,0.02643808810463988,0.003918402272183183,0.2521502465106344
10,Australia,15.152389405117773,0.011250158631791293,0.21550450113954672,0.3697030184486543,0.7499326571341797,0.19566428108354547,1.3152999566663792
11,Austria,7.354798641210074,0.0015846365476754572,0.043796361138771014,0.17892834162326796,0.09953837022409716,0.035233415713688286,0.31370012756105337
12,Azerbaijan,3.569556411697507,0.0013155056448043156,0.06284558654489987,0.08631917747175302,0.08142851540870102,0.05303154524043592,0.22077923812088995
13,The Bahamas,5.083815618577478,0.0007036471214662135,0.030481754440092955,0.12336681430844451,0.04025647270752873,0.022793272370929065,0.1864165593869023
14,Bahrain,19.10793766052147,0.0006330764989847647,0.6325323732300617,0.4664788640835295,0.03550776598623825,0.5853030157558167,1.0872896458255843
15,Bangladesh,0.5358497012883816,0.0006178223036371102,0.023963615298207782,0.01209696771689424,0.03448130912036142,0.016703225020063505,0.06328150185731916
16,Barbados,4.364506164011328,0.0007933840565201224,0.026175238122479336,0.10576829793496757,0.0462948831913037,0.01876959510343876,0.17083277622971002
17,Belarus,6.97594593161787,0.010667630405378783,0.06134689911087265,0.16965938850361817,0.7107342540758292,0.05163128709333333,0.9320249296727807
18,Belgium,9.309766831650522,0.0029196159004663894,0.0593752508495584,0.22675829782736628,0.18936931123710576,0.04978913076477377,0.4659167398292458
19,Belize,1.5571916893939792,0.001520156203378474,0.04451011081854968,0.03708496639603977,0.09519947914467242,0.03590028845940572,0.16818473400011788
20,Benin,0.600749052629569,0.000844909792848533,0.021957035456012023,0.013684785435618366,0.04976205695027805,0.01482843131188099,0.0782752736977774
21,Bhutan,2.281864751947261,0.0008349341815204383,0.047653051584052405,0.05481470799168396,0.049090796716245715,0.03883681032035841,0.14274231502828807
22,Bolivia,1.8482420593603548,0.0026421341434258315,0.09922384994104802,0.044205760747963216,0.1706975263163992,0.08702059361793439,0.3019238806822968
23,Bosnia and Herzegovina,6.586135408391858,0.0013629482881384795,0.060113219233740835,0.16012234317215615,0.0846209372884422,0.050478631603169954,0.2952219120637683
24,Botswana,2.870430842017795,0.0032281434880919503,0.06369365536309933,0.06921447697459956,0.21013017429235487,0.05382391544720839,0.3331685667141628
25,Brazil,2.3276201766644244,0.0028992390950508444,0.09754555043648422,0.055934153295716646,0.18799815324766528,0.08545251978133145,0.3293848263247134
26,British Virgin Islands,5.760342838305588,0.000494478325366738,0.008435800230756553,0.13991862699199806,0.0261814761580378,0.00219523018322552,0.16829533333326138
27,Brunei,22.40292994745253,0.0009774934718633857,0.45585252628524847,0.5470936472536065,0.05868363062403667,0.4202269702134081,1.0260042480910514
28,Bulgaria,6.141791890922441,0.0020452744817617483,0.047145746829157884,0.14925110184758555,0.1305347590437077,0.03836282381725143,0.3181486847085447
29,Burkina Faso,0.2166582167570265,0.0016459596886595283,0.037933766863797444,0.004287677110269969,0.10366481266603896,0.029755859012869496,0.13770834878917843
