,Country,co20,oce20,ter20,wat20
0,Trinidad and Tobago,25.37,62.47,32.0,0.0
1,Brunei Darussalam,23.22,57.45,41.66,50.0
2,Saudi Arabia,17.97,62.62,21.98,17.68
3,Australia,15.37,80.52,56.61,37.7
4,United States,14.24,72.66,34.93,28.62
5,Canada,14.2,94.05,29.85,22.86
6,"Korea, Rep.",11.66,60.04,37.57,36.83
7,Russian Federation,10.81,68.06,25.12,26.23
8,"Iran, Islamic Rep.",8.87,66.11,43.6,36.66
9,Iceland,8.6,79.45,19.08,35.85
10,Malaysia,8.42,57.68,28.51,50.01
11,Japan,8.15,59.42,65.1,64.41
12,Netherlands,8.06,45.5,79.59,87.3
13,Poland,7.92,44.37,87.34,91.13
14,Estonia,7.88,66.16,94.85,92.9
15,Germany,7.69,51.03,78.71,78.82
16,Norway,7.62,77.03,56.51,64.28
17,South Africa,7.62,55.69,33.08,36.53
18,China,7.41,35.1,10.06,9.58
19,Belgium,7.23,31.97,75.6,85.64
20,Finland,7.09,70.11,71.7,75.81
21,New Zealand,6.94,78.44,46.49,24.58
22,Ireland,6.75,61.45,80.68,98.56
23,Bosnia and Herzegovina,6.53,40.71,28.99,99.96
24,Israel,6.51,30.24,17.05,22.73
25,Slovenia,6.04,28.41,73.55,83.98
26,"Bahamas, The",5.95,61.82,29.83,0.0
27,Bulgaria,5.39,42.4,96.61,98.67
28,Cyprus,5.38,58.74,72.31,36.57
29,Iraq,5.24,44.99,5.58,8.12
30,Lithuania,5.07,45.15,90.95,95.17
31,Italy,5.03,50.04,75.66,85.15
32,Greece,5.01,58.8,86.03,90.41
33,Seychelles,4.99,78.82,52.77,98.91
34,Ukraine,4.89,59.21,21.72,16.17
35,United Kingdom,4.86,64.14,86.37,91.15
36,Turkey,4.66,50.5,2.33,4.17
37,Denmark,4.52,52.62,88.82,99.48
38,Spain,4.47,48.7,57.61,51.33
39,Chile,4.25,93.81,36.42,39.98
40,France,4.24,49.14,80.95,77.98
41,Croatia,4.14,64.67,76.89,84.93
42,Portugal,3.96,52.31,75.36,68.63
43,Sweden,3.83,63.48,59.11,59.41
44,Lebanon,3.81,33.11,12.34,21.06
45,Suriname,3.79,78.96,51.19,49.4
46,Romania,3.72,58.21,75.97,60.82
47,Thailand,3.69,60.33,71.1,40.67
48,Montenegro,3.68,61.53,25.91,49.22
49,Latvia,3.59,53.67,97.24,97.49
50,Algeria,3.54,41.58,36.47,76.27
51,Argentina,3.47,82.18,32.14,42.51
52,"Venezuela, RB",2.98,60.72,53.61,42.15
53,Mexico,2.77,64.53,36.19,49.99
54,Vietnam,2.61,45.42,39.99,38.18
55,Dominican Republic,2.56,50.53,76.92,95.45
56,Jamaica,2.51,44.86,21.92,27.77
57,Jordan,2.5,47.25,12.92,18.68
58,Panama,2.5,65.02,33.2,55.25
59,Georgia,2.5,55.2,40.32,38.95
60,Tunisia,2.38,49.19,39.5,43.4
61,Brazil,2.2,60.16,43.83,28.3
62,Indonesia,2.16,58.24,25.91,39.0
63,"Egypt, Arab Rep.",2.09,50.4,38.37,28.49
64,Gabon,1.93,63.72,60.42,93.61
65,Cuba,1.78,58.3,54.48,98.19
66,India,1.77,29.48,20.72,18.92
67,Syrian Arab Republic,1.75,37.26,0.0,0.0
68,Ecuador,1.75,68.76,29.73,59.45
69,Colombia,1.75,63.69,47.64,50.67
70,Morocco,1.75,55.31,38.49,54.26
71,Uruguay,1.68,58.54,23.3,28.27
72,Albania,1.58,56.83,50.49,96.61
73,Costa Rica,1.55,72.75,41.13,49.97
74,Fiji,1.55,73.48,11.18,0.13
75,Namibia,1.53,83.63,86.18,85.7
76,Belize,1.47,66.34,43.26,15.25
77,Peru,1.36,57.08,29.6,49.58
78,Philippines,1.24,54.15,41.64,49.84
79,"Korea, Dem. Rep.",1.14,53.78,0.0,0.0
80,Pakistan,1.06,45.56,34.79,35.9
81,Guatemala,1.06,31.97,29.98,24.82
82,Sri Lanka,0.99,58.3,43.69,43.9
83,Honduras,0.98,59.24,72.34,99.45
84,El Salvador,0.94,44.22,28.05,97.73
85,Cambodia,0.92,53.36,54.54,45.04
86,Nicaragua,0.77,65.03,69.68,73.67
87,Mauritania,0.73,61.15,11.17,0.0
88,Angola,0.68,55.34,28.05,42.83
89,Myanmar,0.67,48.62,25.08,27.06
90,Senegal,0.62,46.61,37.83,23.7
91,Nigeria,0.61,37.1,80.41,73.75
92,"Congo, Rep.",0.57,49.23,60.86,65.69
93,Bangladesh,0.56,33.55,41.47,0.0
94,Benin,0.55,23.91,66.66,0.0
95,Ghana,0.52,36.33,68.88,80.51
96,Sao Tome and Principe,0.51,57.94,79.55,72.88
97,Sudan,0.43,45.34,17.81,0.0
98,Cote d'Ivoire,0.38,40.91,73.78,80.95
99,Djibouti,0.36,51.71,0.81,0.0
100,"Yemen, Rep.",0.33,53.54,27.95,8.18
101,Comoros,0.3,38.63,55.11,100.0
102,Kenya,0.3,46.98,34.2,36.85
103,Haiti,0.26,41.91,29.41,0.0
104,Guinea,0.26,44.05,69.79,90.42
105,Cameroon,0.26,36.19,35.33,41.27
106,"Gambia, The",0.21,50.31,41.71,99.02
107,Mozambique,0.21,54.35,37.97,52.31
108,Liberia,0.2,49.82,15.79,24.34
109,Eritrea,0.2,54.16,13.34,0.03
110,Tanzania,0.18,50.64,62.97,36.21
111,Madagascar,0.13,57.99,27.15,49.26
112,Sierra Leone,0.11,43.37,49.17,51.51
113,Somalia,0.04,61.12,0.0,0.0
114,"Congo, Dem. Rep.",0.03,39.67,52.66,52.46
