,Country,2020
0,Qatar,37.02
1,Mongolia,26.98
2,Trinidad and Tobago,25.37
3,Brunei Darussalam,23.22
4,Kuwait,20.83
5,Bahrain,20.55
6,Saudi Arabia,17.97
7,Kazakhstan,15.52
8,Australia,15.37
9,United Arab Emirates,15.19
10,United States,14.24
11,Canada,14.2
12,Luxembourg,13.06
13,Turkmenistan,12.49
14,Oman,12.17
15,Palau,12.13
16,"Korea, Rep.",11.66
17,Russian Federation,10.81
18,"Iran, Islamic Rep.",8.87
19,Iceland,8.6
20,Malaysia,8.42
21,Czech Republic,8.22
22,Japan,8.15
23,Netherlands,8.06
24,Poland,7.92
25,Estonia,7.88
26,Singapore,7.78
27,Germany,7.69
28,Norway,7.62
29,South Africa,7.62
30,China,7.41
31,Libya,7.38
32,Equatorial Guinea,7.32
33,Belgium,7.23
34,Finland,7.09
35,New Zealand,6.94
36,Ireland,6.75
37,Austria,6.73
38,Bosnia and Herzegovina,6.53
39,Israel,6.51
40,Belarus,6.08
41,Slovenia,6.04
42,Andorra,6.04
43,"Bahamas, The",5.95
44,Slovak Republic,5.63
45,Bulgaria,5.39
46,Cyprus,5.38
47,Iraq,5.24
48,Nauru,5.24
49,Lithuania,5.07
50,Italy,5.03
51,Greece,5.01
52,Hungary,5.0
53,Seychelles,4.99
54,Serbia,4.94
55,Ukraine,4.89
56,United Kingdom,4.86
57,Turkey,4.66
58,Lao PDR,4.65
59,Denmark,4.52
60,Spain,4.47
61,Antigua and Barbuda,4.4
62,Chile,4.25
63,France,4.24
64,Croatia,4.14
65,St. Kitts and Nevis,3.99
66,Portugal,3.96
67,Sweden,3.83
68,Lebanon,3.81
69,Suriname,3.79
70,Barbados,3.78
71,Switzerland,3.73
72,Azerbaijan,3.72
73,Romania,3.72
74,Liechtenstein,3.7
75,Thailand,3.69
76,Montenegro,3.68
77,Malta,3.61
78,Latvia,3.59
79,Algeria,3.54
80,Argentina,3.47
81,North Macedonia,3.43
82,Uzbekistan,3.37
83,Maldives,3.32
84,Mauritius,3.13
85,"Venezuela, RB",2.98
86,Guyana,2.81
87,Mexico,2.77
88,Botswana,2.77
89,Grenada,2.62
90,Vietnam,2.61
91,Dominican Republic,2.56
92,Jamaica,2.51
93,Panama,2.5
94,Georgia,2.5
95,Jordan,2.5
96,Bhutan,2.5
97,St. Lucia,2.4
98,Tunisia,2.38
99,Brazil,2.2
100,Indonesia,2.16
101,"Egypt, Arab Rep.",2.09
102,Armenia,1.99
103,Gabon,1.93
104,Dominica,1.93
105,St. Vincent and the Grenadines,1.88
106,Cuba,1.78
107,India,1.77
108,Bolivia,1.77
109,Kyrgyz Republic,1.76
110,Syrian Arab Republic,1.75
111,Ecuador,1.75
112,Colombia,1.75
113,Morocco,1.75
114,Uruguay,1.68
115,Albania,1.58
116,Fiji,1.55
117,Costa Rica,1.55
118,Namibia,1.53
119,Belize,1.47
120,Peru,1.36
121,Tonga,1.36
122,"Micronesia, Fed. Sts.",1.28
123,Moldova,1.28
124,Samoa,1.24
125,Philippines,1.24
126,"Korea, Dem. Rep.",1.14
127,Pakistan,1.06
128,Paraguay,1.06
129,Guatemala,1.06
130,Lesotho,1.02
131,Sri Lanka,0.99
132,Tajikistan,0.99
133,Cabo Verde,0.99
134,Honduras,0.98
135,El Salvador,0.94
136,Cambodia,0.92
137,Eswatini,0.82
138,Nicaragua,0.77
139,Papua New Guinea,0.74
140,Mauritania,0.73
141,Zimbabwe,0.71
142,Angola,0.68
143,Myanmar,0.67
144,Tuvalu,0.64
145,Senegal,0.62
146,Nigeria,0.61
147,Vanuatu,0.59
148,Nepal,0.58
149,"Congo, Rep.",0.57
150,Kiribati,0.57
151,Bangladesh,0.56
152,Benin,0.55
153,Ghana,0.52
154,Sao Tome and Principe,0.51
155,Solomon Islands,0.44
156,Sudan,0.43
157,Timor-Leste,0.4
158,Cote d'Ivoire,0.38
159,Djibouti,0.36
160,Zambia,0.36
161,"Yemen, Rep.",0.33
162,Afghanistan,0.31
163,Kenya,0.3
164,Comoros,0.3
165,Togo,0.27
166,Haiti,0.26
167,Guinea,0.26
168,Cameroon,0.26
169,"Gambia, The",0.21
170,Mozambique,0.21
171,Liberia,0.2
172,Eritrea,0.2
173,Burkina Faso,0.19
174,Tanzania,0.18
175,Mali,0.17
176,Guinea-Bissau,0.15
177,Madagascar,0.13
178,Ethiopia,0.13
179,South Sudan,0.11
180,Sierra Leone,0.11
181,Uganda,0.11
182,Rwanda,0.08
183,Malawi,0.07
184,Niger,0.07
185,Chad,0.06
186,Burundi,0.05
187,Somalia,0.04
188,Central African Republic,0.04
189,"Congo, Dem. Rep.",0.03
