,Area,2020
1,Afghanistan,508.453722
5,Albania,5180.914198
9,Algeria,3367.963003
13,Andorra,37072.405384
17,Angola,1895.770703
21,Anguilla,17225.937529
25,Antigua and Barbuda,13993.320179
29,Argentina,8475.729582
33,Armenia,4266.005479
37,Aruba,23385.638671
41,Australia,55822.712845
45,Austria,48105.631983
49,Azerbaijan,4202.232239
53,The Bahamas,25194.289197
57,Bahrain,19925.001599
61,Bangladesh,2000.640157
65,Barbados,15449.237002
69,Belarus,6377.055432
73,Belgium,45028.323405
77,Belize,3987.726394
81,Benin,1254.212589
85,Bermuda,123944.906901
89,Bhutan,3217.962935
93,Bolivia,3133.10195
97,Bosnia and Herzegovina,6035.475569
101,Botswana,6710.960147
105,Brazil,6796.844058
109,British Virgin Islands,49357.19308
113,Brunei,27436.741515
117,Bulgaria,10058.077407
121,Burkina Faso,830.925337
125,Burundi,285.875782
129,Cape Verde,3064.276546
133,Cambodia,1512.728288
137,Cameroon,1502.328062
141,Canada,43559.710092
145,Cayman Islands,95190.932506
149,Central African Republic,481.016462
153,Chad,679.067284
157,Chile,13231.709642
161,China,10429.630529
165,Hong Kong S.A.R.,46611.39104
169,Macao S.A.R,37473.753262
173,"China, mainland",10228.970558
177,Colombia,5332.77279
181,Comoros,1420.651905
185,Republic of Congo,1830.382491
189,Cook Islands,16134.977948
193,Costa Rica,12076.805961
197,Ivory Coast,2317.925719
201,Croatia,13934.241955
205,Cuba,9477.852873
209,Curaçao,15819.210502
213,Cyprus,28133.071159
217,Czech Republic,22910.628937
221,Czechoslovakia,
225,North Korea,617.887235
229,Democratic Republic of the Congo,505.883924
233,Denmark,61476.596929
237,Djibouti,3465.038713
241,Dominica,7037.685311
245,Dominican Republic,7268.188603
249,Ecuador,5600.39152
253,Egypt,3608.842256
257,El Salvador,3798.634701
261,Equatorial Guinea,7143.238102
265,Eritrea,587.614196
269,Estonia,23105.523391
273,Swaziland,3305.774271
277,Ethiopia,840.36193
281,Ethiopia PDR,
285,Fiji,5013.230983
289,Finland,48685.245393
293,France,38958.603419
297,French Polynesia,20707.452774
301,Gabon,6789.392632
305,Gambia,757.412441
309,Georgia,3983.689756
313,Germany,45908.724713
317,Ghana,2205.526086
321,Greece,18117.070258
325,Greenland,55138.569878
329,Grenada,9272.883756
333,Guatemala,4331.686958
337,Guinea,1179.48889
341,Guinea Bissau,668.190171
345,Guyana,6956.019415
349,Haiti,1359.802536
353,Honduras,2405.734997
357,Hungary,16128.651665
361,Iceland,63644.018266
365,India,1930.971218
369,Indonesia,3869.58852
373,Iran,11183.274877
377,Iraq,4145.863967
381,Ireland,86250.994153
385,Israel,47033.586547
389,Italy,31238.048346
393,Jamaica,4664.519718
397,Japan,39989.725509
401,Jordan,4282.721671
405,Kazakhstan,9111.410501
409,Kenya,1878.581192
413,Kiribati,1514.569464
417,Kuwait,24809.039629
421,Kyrgyzstan,1185.730193
425,Laos,2622.75764
429,Latvia,17870.510316
433,Lebanon,9310.161925
437,Lesotho,1061.265715
441,Liberia,490.519124
445,Libya,4242.767174
449,Liechtenstein,180227.131992
453,Lithuania,20771.84218
457,Luxembourg,117181.646629
461,Madagascar,469.766309
465,Malawi,614.867605
469,Malaysia,10401.793199
473,Maldives,6924.093847
477,Mali,855.863188
481,Malta,33770.790122
485,Marshall Islands,4130.1309
489,Mauritania,1702.487691
493,Mauritius,8586.942672
497,Mexico,8325.571218
501,Micronesia (Federated States of),3499.863219
505,Monaco,173695.772381
509,Mongolia,4007.31128
513,Montenegro,7625.722017
517,Montserrat,13523.118471
521,Morocco,3108.175374
525,Mozambique,448.843891
529,Myanmar,1291.748968
533,Namibia,4215.170141
537,Nauru,12510.366256
541,Nepal,1135.287957
545,Netherlands,53333.657572
549,Netherlands Antilles (former),
553,New Caledonia,34006.325197
557,New Zealand,43972.130573
561,Nicaragua,1905.255197
565,Niger,567.669697
569,Nigeria,2085.474061
573,Macedonia,5886.461037
577,Norway,66870.730726
581,Oman,12408.89814
585,Pakistan,1167.216496
