,Country,2020
0,Canada,94.05
1,Chile,93.81
2,Samoa,92.4
3,Namibia,83.63
4,Argentina,82.18
5,Australia,80.52
6,Iceland,79.45
7,Suriname,78.96
8,Seychelles,78.82
9,New Zealand,78.44
10,Norway,77.03
11,Guyana,75.01
12,Fiji,73.48
13,Solomon Islands,72.9
14,Costa Rica,72.75
15,United States,72.66
16,Palau,71.94
17,Finland,70.11
18,Ecuador,68.76
19,United Arab Emirates,68.33
20,Russian Federation,68.06
21,Tonga,67.25
22,Belize,66.34
23,Estonia,66.16
24,Oman,66.16
25,"Iran, Islamic Rep.",66.11
26,Papua New Guinea,65.24
27,Mauritius,65.22
28,Nicaragua,65.03
29,Panama,65.02
30,Croatia,64.67
31,Mexico,64.53
32,United Kingdom,64.14
33,Barbados,64.12
34,Gabon,63.72
35,Colombia,63.69
36,"Micronesia, Fed. Sts.",63.56
37,Sweden,63.48
38,Saudi Arabia,62.62
39,Trinidad and Tobago,62.47
40,Cabo Verde,62.4
41,Qatar,62.34
42,Vanuatu,62.04
43,"Bahamas, The",61.82
44,Antigua and Barbuda,61.67
45,Montenegro,61.53
46,Ireland,61.45
47,Mauritania,61.15
48,Somalia,61.12
49,"Venezuela, RB",60.72
50,Thailand,60.33
51,Brazil,60.16
52,"Korea, Rep.",60.04
53,Grenada,59.97
54,Kuwait,59.81
55,Japan,59.42
56,Honduras,59.24
57,Ukraine,59.21
58,St. Vincent and the Grenadines,59.17
59,Dominica,58.93
60,Greece,58.8
61,Cyprus,58.74
62,Maldives,58.65
63,Uruguay,58.54
64,Cuba,58.3
65,Sri Lanka,58.3
66,Indonesia,58.24
67,Romania,58.21
68,Madagascar,57.99
69,Sao Tome and Principe,57.94
70,Equatorial Guinea,57.83
71,Malaysia,57.68
72,Brunei Darussalam,57.45
73,Peru,57.08
74,Albania,56.83
75,St. Kitts and Nevis,56.71
76,Guinea-Bissau,56.42
77,South Africa,55.69
78,Libya,55.64
79,Angola,55.34
80,Morocco,55.31
81,Georgia,55.2
82,Bahrain,54.63
83,Mozambique,54.35
84,Eritrea,54.16
85,Philippines,54.15
86,"Korea, Dem. Rep.",53.78
87,Latvia,53.67
88,"Yemen, Rep.",53.54
89,Cambodia,53.36
90,St. Lucia,53.15
91,Denmark,52.62
92,Tuvalu,52.58
93,Portugal,52.31
94,Djibouti,51.71
95,Germany,51.03
96,Tanzania,50.64
97,Dominican Republic,50.53
98,Turkey,50.5
99,"Egypt, Arab Rep.",50.4
100,"Gambia, The",50.31
101,Italy,50.04
102,Liberia,49.82
103,"Congo, Rep.",49.23
104,Tunisia,49.19
105,France,49.14
106,Spain,48.7
107,Myanmar,48.62
108,Jordan,47.25
109,Kenya,46.98
110,Senegal,46.61
111,Pakistan,45.56
112,Netherlands,45.5
113,Vietnam,45.42
114,Sudan,45.34
115,Lithuania,45.15
116,Iraq,44.99
117,Jamaica,44.86
118,Poland,44.37
119,El Salvador,44.22
120,Guinea,44.05
121,Sierra Leone,43.37
122,Bulgaria,42.4
123,Haiti,41.91
124,Algeria,41.58
125,Malta,41.16
126,Cote d'Ivoire,40.91
127,Bosnia and Herzegovina,40.71
128,"Congo, Dem. Rep.",39.67
129,Singapore,38.77
130,Comoros,38.63
131,Syrian Arab Republic,37.26
132,Nigeria,37.1
133,Marshall Islands,36.61
134,Ghana,36.33
135,Cameroon,36.19
136,China,35.1
137,Bangladesh,33.55
138,Lebanon,33.11
139,Belgium,31.97
140,Guatemala,31.97
141,Israel,30.24
142,India,29.48
143,Slovenia,28.41
144,Nauru,24.24
145,Benin,23.91
146,Togo,21.44
147,Monaco,19.61
