,Area,Value
0,Afghanistan,0.6769863652968309
1,Albania,0.7241911010359574
2,Algeria,0.715524293233745
3,American Samoa,0.40467587688884193
4,Andorra,0.75740200073038
5,Angola,0.5465994322575375
6,Anguilla,0.4266651346881649
7,Antarctica,0.5781566718100466
8,Antigua and Barbuda,0.4291125499312209
9,Argentina,0.3683854538699253
10,Armenia,0.8860907694610852
11,Aruba,0.47695860912823096
12,Australia,0.4704411097097255
13,Austria,0.9010671642148711
14,Azerbaijan,0.8059260996896176
15,Bahrain,0.8619963767626361
16,Bangladesh,0.4319690644914235
17,Barbados,0.41700968331557925
18,Belarus,0.8327329745461938
19,Belgium,0.5547459072810016
20,Belgium-Luxembourg,0.7213007453082149
21,Belize,0.4349635729990105
22,Benin,0.5101837780953976
23,Bhutan,0.5169449833850741
24,Bolivia,0.35595274598891524
25,Bosnia and Herzegovina,0.6458755698461879
26,Botswana,0.6305249209637032
27,Brazil,0.5031575131706862
28,British Virgin Islands,0.42914619135198273
29,Brunei,0.43752514994066466
30,Bulgaria,0.819141227973614
31,Burkina Faso,0.5253916686287297
32,Burundi,0.49650792858997667
33,Cambodia,0.4543450062446528
34,Cameroon,0.4698005704086407
35,Canada,0.929378912414915
36,Cape Verde,0.7433675936643624
37,Cayman Islands,0.45728594172986636
38,Central African Republic,0.46783619979226226
39,Chad,0.4923239670426276
40,Channel Islands,0.7133693457790765
41,Chile,0.31041294900036603
42,China,0.5757057745044896
43,"China, mainland",0.5760451262112145
44,Christmas Island,0.3175292274049906
45,Cocos (Keeling) Islands,0.4264390359314216
46,Colombia,0.41198981100457405
47,Comoros,0.34437309698061647
48,Cook Islands,0.47682359696532517
49,Costa Rica,0.3444497209199345
50,Croatia,0.6338318978346259
51,Cuba,0.4577072196362035
52,Cyprus,0.7338377044706358
53,Czech Republic,0.7739609131434815
54,Czechoslovakia,0.6845885861289717
55,Democratic Republic of the Congo,0.5493528960254827
56,Denmark,0.9830019940053931
57,Djibouti,0.5849471951493808
58,Dominica,0.417038287610782
59,Dominican Republic,0.5042362714902001
60,East Timor,0.5798815450525366
61,Ecuador,0.4632928006408939
62,Egypt,0.6523582483214307
63,El Salvador,0.4804836662696377
64,Equatorial Guinea,0.46449924206569226
65,Eritrea,0.44461611531747247
66,Estonia,0.8290316890079114
67,Ethiopia,0.3566101588832253
68,Ethiopia PDR,0.33545799067553084
69,Falkland Islands,0.3179237329926786
70,Faroe Islands,0.5812467248864778
71,Fiji,0.4279930895463775
72,Finland,1.1511946244610327
73,France,0.757792822084101
74,French Guyana,0.5376440638045419
75,French Polynesia,0.35947523912083795
76,French Southern Territories,0.3697790469209801
77,Gabon,0.4565480845999823
78,Gambia,0.6417667515444986
79,Georgia,0.8543079850576919
80,Germany,0.9192195260972592
81,Ghana,0.518869091800841
82,Gibraltar,0.6828654689130794
83,Greece,0.6623458286433995
84,Greenland,1.1021013520379759
85,Grenada,0.4195666877440115
86,Guadeloupe,0.42058201282056357
87,Guatemala,0.4767288640685244
88,Guinea,0.5286594418569301
89,Guinea Bissau,0.6208616373054431
90,Guyana,0.5481418726646469
91,Haiti,0.5423730125102589
92,Holy See,0.6358143786072441
93,Honduras,0.4475497774311686
94,Hong Kong S.A.R.,0.5910126763501418
95,Hungary,0.9126141291005087
96,Iceland,0.7172538110795904
97,India,0.38506516445183264
98,Indonesia,0.3726890644999048
99,Iran,0.7660353096485926
100,Iraq,0.867416023242048
101,Ireland,0.583981034481326
102,Isle of Man,0.6039729959041387
103,Israel,0.7610155488383732
104,Italy,0.6854131975430005
105,Ivory Coast,0.5339249686343087
106,Jamaica,0.464795635477164
107,Japan,0.5357669529458237
108,Jordan,0.8205237318539416
109,Kazakhstan,0.8119990629064294
110,Kenya,0.474259698058127
111,Kiribati,0.5300998092008585
112,Kosovo,0.6201847695257021
113,Kuwait,0.873865948317255
114,Kyrgyzstan,0.5836100305992796
115,Laos,0.5508967736257464
116,Latvia,0.8035108994389817
117,Lebanon,0.8017380167741727
118,Lesotho,0.47077531389704724
119,Liberia,0.5354746451779161
120,Libya,0.5925461398649496
121,Liechtenstein,0.8327050399790777
122,Lithuania,0.8152918982243997
123,Luxembourg,0.5780630536017624
124,Macao S.A.R,0.5910126763501418
125,Macedonia,0.6857080081301319
126,Madagascar,0.4208877016224746
127,Malawi,0.49785819189300545
128,Malaysia,0.46435266358110133
129,Maldives,0.344145458049785
130,Mali,0.5733694509846198
131,Malta,0.6861909980408878
132,Marshall Islands,0.28634743916085315
133,Martinique,0.41382326485532345
134,Mauritania,0.688843477585454
135,Mauritius,0.40639191359043303
136,Mayotte,0.37990048367363627
137,Mexico,0.5009485368897906
138,Micronesia (Federated States of),0.25401580257336204
139,Midway Island,0.6233894162445448
140,Moldova,0.9121807273289351
141,Monaco,0.6843040371797805
142,Mongolia,0.8644517476665288
143,Montenegro,0.40494702842882224
144,Montserrat,0.4291125499312209
145,Morocco,0.7840249204944216
146,Mozambique,0.3914719860309222
147,Myanmar,0.5004826713999044
148,Namibia,0.6775755352807014
149,Nauru,0.3487546868200446
150,Nepal,0.4200329709931252
151,Netherlands,0.909272303470156
152,Netherlands Antilles (former),0.4347900479453845
153,New Caledonia,0.42556025303327927
154,New Zealand,0.4486459829674026
155,Nicaragua,0.4408994445659682
156,Niger,0.557340310634287
157,Nigeria,0.5021799902653936
158,Niue,0.24436190656342158
159,Norfolk Island,0.40637524562864336
160,North Korea,0.7106720662811714
161,Norway,0.9289774991834147
162,Oman,0.5568567989488133
163,Pacific Islands Trust Territory,0.19609423022219896
164,Pakistan,0.5319675146209792
165,Palau,0.3540031290604864
166,Palestine,0.7627648267154936
167,Panama,0.4148753194656852
168,Papua New Guinea,0.38209979742373174
169,Paraguay,0.4518158929175645
170,Peru,0.47434739005088605
171,Philippines,0.4207020128387281
172,Pitcairn,0.34046102322194444
173,Poland,1.004345067842993
174,Portugal,0.6811185745289187
175,Puerto Rico,0.45905847336392025
176,Qatar,0.8071255923695665
177,Republic of Congo,0.5244856657329369
178,Republic of Serbia,0.4653211032896172
179,Romania,0.892585906229759
180,Russia,0.5736814147167381
181,Russian Federation,0.7969193162119514
182,Rwanda,0.46821939196788753
183,Réunion,0.42708503703199946
184,"Saint Helena, Ascension and Tristan da Cunha",0.5592833920011447
185,Saint Kitts and Nevis,0.4291125499312209
186,Saint Lucia,0.41175497913386544
187,Saint Pierre and Miquelon,0.7966666041337973
188,Saint Vincent and the Grenadines,0.41855597650073145
189,Samoa,0.3735251606980862
190,San Marino,0.7174698097264111
191,Sao Tome and Principe,0.5010217423833542
192,Saudi Arabia,0.7959445304972046
193,Senegal,0.6195401740988267
194,Seychelles,0.3997306230929166
195,Sierra Leone,0.5051074719226497
196,Singapore,0.26089863780086936
197,Slovakia,0.7794584468997368
198,Slovenia,0.6665201620632205
199,Solomon Islands,0.28171229579902207
200,Somalia,0.5884205723335607
201,Somaliland,0.44708401301531414
202,South Africa,0.45260752971673385
203,South Georgia and South Sandwich Islands,0.4168014058873668
204,South Korea,0.6353927256799486
205,South Sudan,0.23964435770912323
206,Spain,0.6721408708546327
207,Sri Lanka,0.46526351543809474
208,Sudan,0.26653667665070035
209,Suriname,0.6048715706163504
211,Swaziland,0.46030448642021654
212,Sweden,1.0551809654961346
213,Switzerland,0.8190380976880629
214,Syria,0.8507504761547865
215,Taiwan,0.5571027683789761
216,Tajikistan,0.5808815941625123
217,Thailand,0.5122000297655236
218,The Bahamas,0.47591660253484114
219,Togo,0.5132344988596073
220,Tokelau,0.34912202937919784
221,Tonga,0.3301416776512841
222,Trinidad and Tobago,0.4532533994001552
223,Tunisia,0.7664665345818301
224,Turkey,0.8240823845361168
225,Turkmenistan,0.6200869460726095
226,Turks and Caicos Islands,0.2548026360407861
227,Tuvalu,0.41959711062225896
228,Uganda,0.4293113204145281
229,Ukraine,0.9025734350993976
230,United Arab Emirates,0.6445024738492586
231,United Kingdom,0.6285452642255193
232,United Republic of Tanzania,0.44820455236981616
233,United States Virgin Islands,0.4351270168181095
234,United States of America,0.5861267174952431
235,Uruguay,0.46933874480704146
236,Uzbekistan,0.714411215657671
237,Vanuatu,0.3936747742348403
238,Venezuela,0.42679265771284725
239,Vietnam,0.531779573978304
240,Wake Island,0.3445522557194673
241,Wallis and Futuna,0.37432349908496676
242,Western Sahara,0.6946484026316396
243,Yemen,0.34056501439851106
244,Yugoslav SFR,0.4538491673085527
245,Zambia,0.5172208906519301
246,Zimbabwe,0.4414531456241089
