,Country,2020
0,Equatorial Guinea,100.0
1,Latvia,97.24
2,Bulgaria,96.61
3,Estonia,94.85
4,Czech Republic,94.71
5,Lithuania,90.95
6,Denmark,88.82
7,Poland,87.34
8,United Kingdom,86.37
9,Namibia,86.18
10,Greece,86.03
11,Slovak Republic,85.78
12,Hungary,82.81
13,Luxembourg,82.42
14,Zimbabwe,81.22
15,France,80.95
16,Liechtenstein,80.8
17,Ireland,80.68
18,Nigeria,80.41
19,Netherlands,79.59
20,Sao Tome and Principe,79.55
21,Malta,79.51
22,Togo,79.45
23,Germany,78.71
24,Dominican Republic,76.92
25,Croatia,76.89
26,Romania,75.97
27,Italy,75.66
28,Belgium,75.6
29,Portugal,75.36
30,Central African Republic,74.24
31,Cote d'Ivoire,73.78
32,Slovenia,73.55
33,Honduras,72.34
34,Cyprus,72.31
35,Uganda,72.24
36,Finland,71.7
37,Thailand,71.1
38,Malawi,70.77
39,Guinea,69.79
40,Nicaragua,69.68
41,Ghana,68.88
42,Austria,67.36
43,Chad,67.31
44,Burkina Faso,66.71
45,Benin,66.66
46,Japan,65.1
47,Tanzania,62.97
48,"Congo, Rep.",60.86
49,Gabon,60.42
50,Qatar,59.99
51,Guinea-Bissau,59.48
52,Sweden,59.11
53,Spain,57.61
54,Burundi,56.83
55,St. Kitts and Nevis,56.82
56,Australia,56.61
57,Norway,56.51
58,Comoros,55.11
59,Niger,54.69
60,Cambodia,54.54
61,Cuba,54.48
62,"Venezuela, RB",53.61
63,Seychelles,52.77
64,"Congo, Dem. Rep.",52.66
65,Rwanda,51.69
66,Kuwait,51.65
67,United Arab Emirates,51.55
68,Suriname,51.19
69,Botswana,51.09
70,Nepal,50.66
71,Albania,50.49
72,Sierra Leone,49.17
73,Bolivia,48.22
74,Palau,48.1
75,Colombia,47.64
76,Belarus,47.09
77,Samoa,47.05
78,Bhutan,46.97
79,New Zealand,46.49
80,Zambia,46.14
81,St. Vincent and the Grenadines,45.64
82,Timor-Leste,45.58
83,St. Lucia,45.56
84,Mongolia,45.0
85,Lao PDR,44.04
86,Brazil,43.83
87,Sri Lanka,43.69
88,"Iran, Islamic Rep.",43.6
89,Belize,43.26
90,"Gambia, The",41.71
91,Brunei Darussalam,41.66
92,Philippines,41.64
93,Bangladesh,41.47
94,Costa Rica,41.13
95,Georgia,40.32
96,Kiribati,40.0
97,Vietnam,39.99
98,Tunisia,39.5
99,Morocco,38.49
100,"Egypt, Arab Rep.",38.37
101,Mozambique,37.97
102,Senegal,37.83
103,"Korea, Rep.",37.57
104,Switzerland,37.03
105,Azerbaijan,36.62
106,Algeria,36.47
107,Chile,36.42
108,Paraguay,36.25
109,Mexico,36.19
110,Cameroon,35.33
111,United States,34.93
112,Pakistan,34.79
113,Grenada,34.45
114,Kenya,34.2
115,South Sudan,33.6
116,Dominica,33.33
117,Panama,33.2
118,South Africa,33.08
119,Argentina,32.14
120,Trinidad and Tobago,32.0
121,Eswatini,30.57
122,Guatemala,29.98
123,Canada,29.85
124,"Bahamas, The",29.83
125,Ecuador,29.73
126,Peru,29.6
127,Haiti,29.41
128,Bosnia and Herzegovina,28.99
129,Malaysia,28.51
130,Angola,28.05
131,El Salvador,28.05
132,"Yemen, Rep.",27.95
133,Madagascar,27.15
134,Antigua and Barbuda,26.9
135,Serbia,26.77
136,Andorra,26.09
137,Tonga,26.07
138,Montenegro,25.91
139,Indonesia,25.91
140,Russian Federation,25.12
141,Myanmar,25.08
142,North Macedonia,24.4
143,Kyrgyz Republic,23.6
144,Uruguay,23.3
145,Armenia,22.57
146,Saudi Arabia,21.98
147,Jamaica,21.92
148,Ukraine,21.72
149,Singapore,21.14
150,India,20.72
151,Iceland,19.08
152,Ethiopia,18.1
153,Sudan,17.81
154,Uzbekistan,17.73
155,Israel,17.05
156,Tajikistan,16.81
157,Lesotho,16.49
158,Liberia,15.79
159,Turkmenistan,14.04
160,Eritrea,13.34
161,Kazakhstan,13.05
162,Jordan,12.92
163,Lebanon,12.34
164,Cabo Verde,12.03
165,Oman,11.81
166,Fiji,11.18
167,Mauritania,11.17
168,Marshall Islands,10.11
169,China,10.06
170,Mauritius,9.64
171,Mali,8.06
172,Papua New Guinea,7.31
173,Afghanistan,5.74
174,Iraq,5.58
175,Solomon Islands,4.6
176,Guyana,3.91
177,Vanuatu,2.95
178,Turkey,2.33
179,Barbados,1.75
180,Djibouti,0.81
181,"Micronesia, Fed. Sts.",0.02
182,Maldives,0.0
183,Libya,0.0
184,Moldova,0.0
185,Bahrain,0.0
186,"Korea, Dem. Rep.",0.0
187,Somalia,0.0
188,Syrian Arab Republic,0.0
189,Nauru,0.0
