,Country,2020
0,Comoros,100.0
1,Bosnia and Herzegovina,99.96
2,Denmark,99.48
3,Honduras,99.45
4,"Gambia, The",99.02
5,Seychelles,98.91
6,Bulgaria,98.67
7,Ireland,98.56
8,Cuba,98.19
9,El Salvador,97.73
10,Latvia,97.49
11,Albania,96.61
12,Dominican Republic,95.45
13,Lithuania,95.17
14,Central African Republic,94.8
15,North Macedonia,93.64
16,Gabon,93.61
17,Estonia,92.9
18,Czech Republic,92.11
19,United Kingdom,91.15
20,Poland,91.13
21,Guinea,90.42
22,Greece,90.41
23,Netherlands,87.3
24,Slovak Republic,86.27
25,Namibia,85.7
26,Belgium,85.64
27,Italy,85.15
28,Croatia,84.93
29,Hungary,84.84
30,Slovenia,83.98
31,Zimbabwe,82.01
32,Cote d'Ivoire,80.95
33,Ghana,80.51
34,Burundi,79.95
35,Germany,78.82
36,France,77.98
37,Algeria,76.27
38,Finland,75.81
39,Nigeria,73.75
40,Nicaragua,73.67
41,Sao Tome and Principe,72.88
42,Austria,71.22
43,Portugal,68.63
44,"Congo, Rep.",65.69
45,Japan,64.41
46,Norway,64.28
47,Chad,61.38
48,Romania,60.82
49,Switzerland,60.23
50,Ecuador,59.45
51,Sweden,59.41
52,Bolivia,58.68
53,South Sudan,58.59
54,Niger,58.21
55,Zambia,56.84
56,Panama,55.25
57,Morocco,54.26
58,Belarus,53.31
59,"Congo, Dem. Rep.",52.46
60,Mozambique,52.31
61,Botswana,52.12
62,Sierra Leone,51.51
63,Spain,51.33
64,Colombia,50.67
65,Burkina Faso,50.18
66,Malaysia,50.01
67,Brunei Darussalam,50.0
68,Mexico,49.99
69,Costa Rica,49.97
70,Philippines,49.84
71,Peru,49.58
72,Suriname,49.4
73,Madagascar,49.26
74,Montenegro,49.22
75,Uganda,48.48
76,Cambodia,45.04
77,Sri Lanka,43.9
78,Tunisia,43.4
79,Angola,42.83
80,Argentina,42.51
81,"Venezuela, RB",42.15
82,Mongolia,41.4
83,Cameroon,41.27
84,Thailand,40.67
85,Chile,39.98
86,Indonesia,39.0
87,Georgia,38.95
88,Paraguay,38.83
89,Vietnam,38.18
90,Australia,37.7
91,Luxembourg,37.13
92,Kenya,36.85
93,"Korea, Rep.",36.83
94,"Iran, Islamic Rep.",36.66
95,Cyprus,36.57
96,South Africa,36.53
97,Tanzania,36.21
98,Pakistan,35.9
99,Iceland,35.85
100,Kyrgyz Republic,35.4
101,Bhutan,34.81
102,Nepal,32.43
103,Armenia,30.53
104,Tajikistan,30.48
105,Lao PDR,29.87
106,Rwanda,29.18
107,United States,28.62
108,"Egypt, Arab Rep.",28.49
109,Brazil,28.3
110,Uruguay,28.27
111,Jamaica,27.77
112,Myanmar,27.06
113,Russian Federation,26.23
114,Malawi,25.84
115,Guatemala,24.82
116,New Zealand,24.58
117,Liberia,24.34
118,Senegal,23.7
119,Serbia,23.2
120,Canada,22.86
121,Israel,22.73
122,Lebanon,21.06
123,India,18.92
124,Jordan,18.68
125,Saudi Arabia,17.68
126,Ukraine,16.17
127,Ethiopia,16.17
128,Belize,15.25
129,Azerbaijan,14.53
130,Uzbekistan,13.44
131,Turkmenistan,12.75
132,Kazakhstan,10.03
133,China,9.58
134,"Yemen, Rep.",8.18
135,Iraq,8.12
136,Turkey,4.17
137,Fiji,0.13
138,Eritrea,0.03
139,"Korea, Dem. Rep.",0.0
140,Moldova,0.0
141,Mauritania,0.0
142,Benin,0.0
143,Djibouti,0.0
144,Bangladesh,0.0
145,Haiti,0.0
146,"Bahamas, The",0.0
147,Trinidad and Tobago,0.0
148,Sudan,0.0
149,Syrian Arab Republic,0.0
150,Mali,0.0
151,Somalia,0.0
152,Afghanistan,0.0
